timestamp (utc),transfer_id,txid,asset_id,template,rarity,mint,count_common,count_rare,count_secret,count_unique
7/09/2021 7:31,18469392592,5d9eb430cdf5666b56b11f8988eaa9873591b8aee66d8dce239f43e82400408e,1099564096998,278950,rare,12,82,47,5,1
7/09/2021 7:31,18469392654,0454644e3f61e90bfded2697cc53a2ca81baa55586c87bd463f71746d2b7acd7,1099564097084,278950,rare,98,82,48,5,1
7/09/2021 7:31,18469395246,8cc820e1a510aaa1b392383b100569ea23a931d43087e8e6293a3e7d5a38ac20,1099564096987,278950,rare,1,82,49,5,1
31:34.5,18469395880,6bfab6fd7bc9df0f8225ea3ac2d4bcd6dbffe0b734ac3393d134bc67ce4d9615,1099564097751,278949,common,583,83,49,5,1
31:34.5,18469395962,b87f2fd27ae1b84024d361234536140cccc1448f60fe03f16e362762c5d469a4,1099564098145,278949,common,972,84,49,5,1
31:34.5,18469396040,4a76f93f3c5293435e3804402218fa050688e236ae84c1f6c66e96ff5bbf15a6,1099564096982,278952,secret rare,9,84,49,6,1
7/09/2021 7:31,18469397167,c91938850688a2607861af09ffd4c4c8d803d2afdeb333f6e4efbaa77ade785a,1099564098023,278949,common,852,85,49,6,1
31:36.5,18469399246,57f9e44963c9747988468b2d75dbbe193a36a30923e89751c13baea7b4ff2f73,1099564097061,278950,rare,75,85,50,6,1
7/09/2021 7:31,18469399751,a728dcb6c633e353d2ec7691d4f55d6a661985962219b8a4524dd1831cd283b8,1099564097086,278950,rare,100,85,51,6,1
31:39.5,18469403440,9c38341188014527ec6d75d906cc69fcdbf671cc393d723d425be4fd185f56d6,1099564097060,278950,rare,74,85,52,6,1
31:39.5,18469403478,952e3fd5a1b7aa4b1ada0723ddf03429eded4be947f732d754146805a0c28dbb,1099564097833,278949,common,665,86,52,6,1
7/09/2021 7:31,18469404240,561251fd5c7260b10c239d37f3b1a106aed1734ecadfb004945a2addf403a7ca,1099564097150,278949,common,26,87,52,6,1
7/09/2021 7:31,18469405449,c8e735adcbd57915c0d3863bc8df7de7fc459c4eef046ceb56dc16ca47e6c969,1099564096996,278950,rare,10,87,53,6,1
7/09/2021 7:31,18469407626,610696e156ad6601b5213167d49f5519187d3a029008b304c30e42bcea4766e3,1099564097019,278950,rare,33,87,54,6,1
7/09/2021 7:31,18469409302,92d0a594655cfe8a07b089265085795ebf4c8bd1ffeabf6ffc335df7ac8ddc3f,1099564097220,278949,common,96,88,54,6,1
7/09/2021 7:31,18469410410,9dde4fce71dc993a9d48a8943cf35b48ea7c3f82948045eb09757c699507ce3f,1099564098025,278949,common,854,89,54,6,1
7/09/2021 7:31,18469412375,86ccb3d5fe3700f19cca7916997ec4f1fe2b97841865e019f6dc0aa38320d955,1099564097153,278949,common,29,90,54,6,1
31:45.5,18469413161,41d66df567433ee1e7c189bcfa4efb168b0644bbfca8224e8a60c71bac58b31f,1099564097734,278949,common,566,91,54,6,1
31:46.5,18469414862,a3271c8593827f02f2361768d7c6f215d5fdcce17a91eecc96db16c64e96bfe7,1099564097015,278950,rare,29,91,55,6,1
31:48.5,18469417721,11f267072112aee6bbdad06ed9b078f091a667f577518c86be4c68f73a55fe05,1099564097716,278949,common,548,92,55,6,1
7/09/2021 7:31,18469420742,c0ce7f87abfa68a2d99d9e32279be5c210ced84f381d6884ce5999642aee1322,1099564097489,278949,common,360,93,55,6,1
7/09/2021 7:31,18469422800,cb53185f67da834e02f95e8f4025bb069d1166df3db8cfbab3989c52e817040b,1099564096999,278950,rare,13,93,56,6,1
31:51.5,18469423444,72f8b5f93936fb9ee2bc2f45587d0a6dafe0ae4d71fbc26097b9dcbacbc25d97,1099564097752,278949,common,584,94,56,6,1
31:52.5,18469424744,f1b5ab166d89d7d6615ec33e72366cff0f02a05993efa2b3d0204187ce19e8ec,1099564097775,278949,common,607,95,56,6,1
7/09/2021 7:31,18469430217,fe01cb2b1faa7e2a40418e36ae899c1b6cd92ead5af2dca5d67cf1e5229107fd,1099564097438,278949,common,309,96,56,6,1
31:55.5,18469430741,ba2947ce8ff22b71e69ec8ff95df4627ec1b922fdfb270264c10d5c08f928915,1099564097079,278950,rare,93,96,57,6,1
31:58.5,18469436954,52d1e2b7acd5955588af722bb242f3d081ec1ca2e22300cb513d8b81c4e8f6d1,1099564097989,278949,common,818,97,57,6,1
31:58.5,18469436976,017c50c5501337556498ef42fe5731e66ef034c884ad88e99f750e1f27197e7e,1099564097059,278950,rare,73,97,58,6,1
7/09/2021 7:31,18469438172,e6a3674126209951875de2c07c994943d69569ce8a33f487343027ff4cd33cbd,1099564096976,278952,secret rare,3,97,58,7,1
32:00.5,18469440643,a40c51b3f9cc5fa5f0ec263442b70913cf6cfc9d72bf47ff152d2930ce08233a,1099564097364,278949,common,237,98,58,7,1
7/09/2021 7:32,18469442463,283964657675b7129a8022689c0ba26d4680726104689c9988376b3853ac4f72,1099564097432,278949,common,303,99,58,7,1
32:01.5,18469443053,2154058a2fbbc325b815cd9f265d8e4dc0559c60d20c9a46f054459cc211ce7a,1099564097072,278950,rare,86,99,59,7,1
32:01.5,18469443437,9bfc9a8a2af720a95578af915ee81938a2dd9a8b25b1679ca9c01ccffde828ee,1099564097831,278949,common,663,100,59,7,1
